input_group,alternative,criterion,manager,value,value_low,value_high,direction,source_file,locator,note
manager_rating,SFT-3,EIS,Mang-2,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G14,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,SR,Mang-2,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H14,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,PC,Mang-2,5,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I14,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,F,Mang-2,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J14,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,CMI,Mang-2,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K14,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,QSS,Mang-2,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L14,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,MSC,Mang-2,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M14,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-3,CS,Mang-2,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N14,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,RS,Mang-2,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,IC,Mang-2,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,SFR,Mang-2,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,EU,Mang-2,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,EIS,Mang-2,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,SR,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,PC,Mang-2,4,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,F,Mang-2,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,CMI,Mang-2,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,QSS,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,MSC,Mang-2,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-4,CS,Mang-2,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N15,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,RS,Mang-2,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,IC,Mang-2,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,SFR,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,EU,Mang-2,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,EIS,Mang-2,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,SR,Mang-2,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,PC,Mang-2,5,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,F,Mang-2,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,CMI,Mang-2,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,QSS,Mang-2,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,MSC,Mang-2,5,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-5,CS,Mang-2,6,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N16,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,RS,Mang-2,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,IC,Mang-2,4,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,SFR,Mang-2,4,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,EU,Mang-2,3,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,EIS,Mang-2,4,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,SR,Mang-2,4,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,PC,Mang-2,4,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,F,Mang-2,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,CMI,Mang-2,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,QSS,Mang-2,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!L17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,MSC,Mang-2,6,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!M17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-6,CS,Mang-2,4,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!N17,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,RS,Mang-3,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!C21,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,IC,Mang-3,7,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!D21,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,SFR,Mang-3,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!E21,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,EU,Mang-3,2,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!F21,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,EIS,Mang-3,7,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!G21,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,SR,Mang-3,9,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!H21,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,PC,Mang-3,9,,,cost,NP04_Cao_2024_Supplement_Raw_Data,Managers!I21,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,F,Mang-3,8,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!J21,1–9 alternative performance rating; public raw supplement
manager_rating,SFT-1,CMI,Mang-3,5,,,benefit,NP04_Cao_2024_Supplement_Raw_Data,Managers!K21,1–9 alternative performance rating; public raw supplement
